id,user_IXL SS,user_IXL Science,user_IXL Math,user_IXL Reading,user_AR,subgroup_TCAPMathLevel,subGroup_bottom25,subgroup_ell,user_Reflex M,subgroup_lunchStatus,subgroup_specialEd,subgroup_gender,districtId,studentId,studentLevel,year,measurementTypeId,value_lexileStar,value_starReadingUnified,value_starMathUnified,value_acapMathLevel,value_acapMath,value_acapELALevel,value_acapELA,value_acapLexile,value_starReading,value_starMath,value_AcapMathRc2,value_AcapMathRc3,value_AcapMathRc1,value_AcapElaRc8,value_AcapElaRc7,value_AcapElaRc5,value_AcapElaRc4,value_AcapElaRc3,value_AcapElaRc2,value_AcapElaRc6,value_AcapElaRc1,value_acapScienceLevel,value_acapScience,value_AcapMathRc4,value_edulasticMath,value_edulasticELA,value_edulasticScience,value_StudySyncELA,value_AcapSciRc3,value_AcapSciRc2,value_AcapSciRc1,value_edulasticHistory,value_starEarlyLitUnified,value_actMathScore,value_actReadingScore,value_actEnglishScore,value_actCompositeScore,value_actScienceScore,value_StarEarlyLit,value_AcapMathRc5,value_AcapSciRc4,value_AcapElaRc10,value_AcapElaRc9,value_actStemScore,value_acapReadSubscore,value_edulasticUsHistory,value_edulasticAlgebra,value_edulasticGeometry,value_edulasticBio,value_edulasticWH,value_edulasticPhySci,value_edulasticGeography,value_edulasticEnvironmental,value_edulasticAP,value_edulasticGov,value_edulasticCivics,value_edulasticChem,value_edulasticEco,value_edulasticPreCal
4933440,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480173,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,77.33333333333333,84.0,,,,
4933435,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480174,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,79.75,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,72.0,88.0,,,,
4933444,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480175,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,92.0,,,,
3268676,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,18,1480176,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,14.0,8.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
7263156,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480177,11.0,2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0,11.5,14.5,13.5,,,,,,13.0,,,,,,,,,,,,,,,
4933729,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480178,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,55.25,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,73.33333333333333,72.0,,,,
4933462,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480179,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,76.0,82.0,,,,
7263157,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480180,12.0,2023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,16.0,16.0,21.0,,,,,,18.0,,,,,,,,,,,,,,,
4933692,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480181,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,62.66666666666666,70.0,,,,
7517585,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480182,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,62.0,82.0,,,,
